start	end	text
3578640	3587680	you can measure the activity of the channel with electricity, okay, and Occhinoxley determined
3587680	3593200	the specific membrane capacitance, so it's one millifarad per centimeter square, but it's more
3594320	3601120	accurate to be 0.5 millifarad per centimeter square, so a cell never reaches centimeters
3601120	3606720	square, but you can calculate the capacitance, and you can measure the capacitance of a cell,
3607680	3613280	so you can measure the volume of a cell or the surface of a cell, okay,
3613440	3626960	so how the researcher measure the ion channel activity, okay, so if you can measure the activity,
3626960	3634400	you can understand what are their functions, and if you have the gene, and if there is a mutation,
3634400	3639120	you measure the activity, you see what's different in the phenotype of the activity,
3639120	3643760	and you can determine the cause of pathology for example, okay, so far
3647120	3654560	if you remember I said so the channel is closed, activated, and then inactivated,
3655840	3662320	you still have a stimulation, but the channel prevents the passage of ion, and this is
3663280	3671040	exactly what is seen here with this representation of a recording of a current from ion channels,
3671920	3681040	so you have a resting membrane potential minus 100 millivolt, okay, and then you apply a stimuli,
3681040	3689120	so you depurize the cell, so you open the channel, so you can see a current, and by definition
3689920	3700080	the current that is goes to negative down, reflects an ion, a positive ion, a cation,
3700080	3706960	that move inside the cell, okay, if you have a current that moves up, that is positive,
3706960	3712080	this reflects a cation, a positive ion that moves out of the cell, but in this case here,
3712080	3717840	so you have activations here, so negative current, so it's sodium flowing in, so the channels are
3717840	3725440	opening here, and when they reach the maximum here, they are all open, okay, they are all open,
3725440	3730720	open the stimulation, and it's very fast, you can see that it's in less than millisecond,
3730720	3736560	all the channel will respond to the stimuli and open, okay, so you can measure the current here,
3737200	3745040	the scale is microamperes, so you have one, two, two plus alpha microamperes, so you can calculate
3745040	3751920	actually how much sodium are flowing at this time here, okay, but you see that the stimulus,
3751920	3757440	the stimuli is prolonged open time, but you see the current is moving down,
3759680	3767760	okay, so this reflects the inactivation of the current, okay, the channels are getting
3767760	3774640	inactivated despite the stimulation, okay, and then they reach almost they come to zero,
3774640	3781280	so in terms of sodium channels, it's very important that you reach, you come back to zero,
3781280	3788720	otherwise you will have a leak of sodium, and that's very bad for your condition, okay, so it's
3788720	3795440	compact, the resting inactivation, they didn't show it this figure, but if you move back the
3795440	3802880	potential from the stimuli range to the resting range, your current will immediately be shut down,
3802880	3810160	and this is called the activation, okay, so in this case the inactivation is very efficient,
3810160	3816800	but for some channels the inactivation is not complete, it's partial, and it reaches steady
3816800	3823040	state current, so there is a at prolonged stimulation, there is a constant influx of
3823600	3831600	ions inside the cell, okay, that's very important for example calcium, okay, so the channels will
3831600	3843280	fluctuate between these different configurations at a prolonged stimuli, okay, so that's the kind
3843280	3850240	of current that people measure when they study ion channels, okay, so what is the technique they use
3851200	3869760	for measuring ion channel activity, they use what is called the patch clump technique,
3869760	3878800	if you remember last week when I say Neheron Sackmann, the German researcher, they developed
3878880	3897920	this technique in 1976, 50 years ago, they developed this technique, and there is no
3899360	3907680	at the moment yet, there is no new technique that would challenge the precision of patch clump,
3907680	3917360	so the patch clump is still used as a researcher, at least in my lab, so we do this, so we apply,
3918480	3923760	that's the surface of the plasma membrane, so we apply a glass electrode at the surface of the
3923760	3932000	plasma membrane, and we can measure the activity of one channel, or we can measure the activity of
3932000	3939360	all the channels at the surface of the plasma membrane, patch, patch means a patch of membrane
3939360	3946080	here that can be catch under the under the glass pipette, and then you pull out the membrane,
3946080	3950880	and you have what's called an excise patch, you have a piece of membrane, and if you are lucky you
3950880	3959360	catch one or several channels under your patch, okay, or you can measure it as a cell attach,
3959360	3969760	or if you keep the pressure strong, you will break the membrane here, and you will keep the cell
3969760	3976160	attached to the pipette, and you can measure the current of all ion channels together, okay,
3976720	3982880	so if you know the conductance of one channel, you can count the number of channels you have
3983200	3989440	at the surface of the plasma membrane, this is called a patch clamp technique, and what machine
3989440	3998240	is required for math, you don't need to learn this by technically, but you have two electrodes
3999120	4007920	that are linked to an amplifier and a resistor feedback, or a capacitor feedback, so why you
4007920	4014400	have a capacitor feedback, because you don't measure the current directly, you clamp the voltage,
4015280	4024080	and you put current to keep the voltage clamp, to keep the voltage constant, okay, you change the
4024080	4032240	voltage, ion channel will open, the current will move, so the system will input more current to
4032240	4042160	keep the voltage constant, and the difference, and the input current is exactly the same as the
4042160	4048720	current flowing through the ion channel, and this enables you to measure precisely,
4049760	4056640	quantitatively and precisely, the amount of ion that are flowing through a single ion channel,
4057600	4064880	this is the picture of my setup, experimental setup, so I have a microscope here,
4066160	4072080	I have a camera, this is not for the patch clamp, I have a prearm, I have an arm,
4073280	4081200	I have a, so the signal comes from here, through the cable here, and then it's moved to the
4081920	4089200	an AV converter, so it's a digitizer, so it will change the analog signal that is recorded,
4089200	4095920	that is measured here into a digital signal, so you can have it in the computer, you have a computer,
4096480	4105680	and here you record the current, okay, so outside your microscope you have a cage,
4106640	4111600	it's called a Faraday cage, because the current are very small, so all electrical components
4111600	4120080	outside can contaminate your measurement, so you want to eliminate the cage, you have a ground here,
4121760	4130160	you have an anti-vibration table, so keep your system out of a small movement, because
4130800	4138000	the connection between the tip of your glass pipette and the plasma membrane is very fragile,
4138000	4143440	so you have a small vibration, you lose your connection, you lose your measurement, okay,
4146720	4153600	this is the, if you look, the cells are here, you have a glass electrode that you have to
4153600	4161280	microfabricate by yourself, and you have an electrode here that you put, you put the glass
4162080	4169920	in the glass electrode, and then you have, you can change the medium, you have the reference
4169920	4176560	electrode just behind, it looks something like this, okay, so you have the microfabrication,
4177520	4185280	this is the tip that will touch the sand, and you make your experiment, okay, so
4188400	4193520	oh, time to fly, for me,
4198560	4200240	so what kind of experiments you do,
4201200	4208720	but with a simple technique you can do a lot of experiments, and what is important to remember
4208720	4219520	is that you measure the current flowing through channels, so you have the medium that contains
4219520	4225840	the cell, so it's called the extracellular medium, or the bass medium, because they are in the bass,
4225840	4234880	okay, so you can, how to say fabricate, or you can make your own medium with the ions you want,
4234880	4241520	the molecule you want, and within the biped, it's called the intracellular medium, so it's
4241520	4248320	mimic, or recapitulate, the medium that is inside the cell, and this also, you control it, because
4248320	4253280	you control the composition of the ions, you control the concentration of ions, you control
4253280	4260000	the concentration of ions in the extracellular medium, and this is important, because then
4260000	4268720	you can calculate the equilibrium potential for each ion in your system, and this is important
4269440	4277040	for your experiments, okay, you can add other molecules, you have to control the pH, you can
4277040	4284080	add energy, some channels require a little bit of ATP to function, not to open or close,
4284720	4294000	just to stay in good shape, okay, and you have different configuration, so how you do, first
4294000	4301600	you have to bring your pipette close to yourself, and do what is called a seal formation, so you have
4301600	4308640	to attach your cell to your glass pipette without shaking too much, otherwise it doesn't work,
4309520	4314880	so you have to make a very smooth approach, cells are very fragile, so you have to touch the cell,
4315520	4320960	so once you touch the cell, you do what is called a negative pressure in a tube, you have a tube
4320960	4329520	attached to the pipette, and you're using a syringe, you just slightly impose a negative pressure,
4329520	4336160	so you make what is called a tight seal or a Giga seal, so you have current between the pipette
4336160	4343920	and the extracellular medium, so you have to eliminate this current by sticking or by
4345600	4354400	attaching or gluing the membrane to the pipette, so this noise current, this contaminated current
4354400	4362160	is the smallest as possible, so it makes a style, if you give a stronger negative pressure,
4362160	4369760	you break the plasma membrane and you have access to the whole channel, and this is, you follow this
4371600	4377920	not by your eyes, because you cannot guess if it's well attached or not, but by measuring the current
4378240	4387360	on the osteoscope, so this is the current of the pipette in the bus, when you apply a negative
4387360	4395840	pressure, this current would be annihilated, to generate this current you apply a pulse,
4395840	4402800	a voltage pulse, that's why you see this current, and you keep applying this pulse and you see small
4402880	4408400	peaks, these are the capacitance peaks of the pipette, and the current is very very small,
4409040	4417360	so the resistance of this current reach Giga home value, this is the resistance,
4418240	4421920	resistance in this home, Giga is how much?
4432560	4439920	So very high resistance, you need to have at least one 10 Giga home resistance,
4439920	4448240	and this you have to do it manually, okay, and yeah, just doing this when you start learning
4448240	4455200	you're very happy, okay, but you haven't even done a measurement, and then you keep having negative
4455200	4462000	pressure, and suddenly you see two peaks like this, and this is the capacitance of the membrane,
4462000	4471200	this is the charging current of the plasma membrane, so the the system is always flowing
4471200	4477520	current, you have a pulse, and it's charging the plasma membrane, and when the pulse goes down
4477520	4484000	it's discharging of the plasma membrane, so you can calculate from this peak, you can calculate
4484000	4489600	the capacitance of the membrane, and if you calculate the capacitance of the membrane,
4489600	4495440	you can calculate the surface of the plasma membrane, and this is important because some cells
4495440	4501360	are larger, some cells are smaller, so you can normalize your current by the capacitance, so you
4501360	4507360	can say within the mean of these cells you have more current in this condition than in another
4507360	4514080	condition, okay, so this is important, okay, this is the whole set, the set attached, you can use a
4514080	4521920	single set, okay, can I ask a question, yes, will this be like the state of the cell is constantly
4521920	4527520	under negative pressure, so like you're learning in those sensitive channels, wouldn't it be
4527520	4533680	affected by the, ah, you don't, the pressure will just apply once, or just once you break, you just
4533680	4538880	release the pressure, and that's it, and the system is very stable, that's it, it's a very nice moment,
4538880	4545280	yes, you have pressure sensitive channel, if you, sometimes when I pull, I would see the
4545920	4552080	current of the pressure sensitive channel, but then you break it, you release the pressure, yes,
4552080	4560960	the pressure is not constant, good comment, very good comment, okay, so now you have four minutes,
4561040	4569680	but okay, I just explained a few more things, and I will continue next week, and next week I
4569680	4578880	will introduce you a paper that I would like you to read, okay, so just depending on the configuration
4578880	4588400	of your measurement, so in cell attached or in, you pull out, and it's called inside out, because
4588400	4593840	the inside of the channel will be exposed to the extracellular medium, but you have to change this
4593840	4599360	medium, it's called the cell attached inside out, so you can characterize your channel in a different
4600080	4609280	parameter, you can generate what is called the current voltage curve, so the, the dependence of
4609280	4620000	the currents of the voltage dependence of the current, if you calculate the slope of the
4620000	4627280	id curve, you can calculate the conductance, you can determine the selectivity, you change the
4627280	4633840	id composition, and you look what is the effect on the reversal potential for the equilibrium
4633840	4639440	potential, so it enables you to determine the selectivity, you can calculate what is called
4639440	4645680	the open probability, how, when the channel is open or not, does it change with the voltage, does it
4645680	4654400	change with specific stimuli, what is called the well time, the time it's closed or opens,
4654400	4660640	and you can even count the channel going to the channel, you can study the pharmacology,
4660640	4667360	the effect of agent as an albuminist or antagonist, and if you do some mutations, you can, you can
4667360	4672240	determine the structural function of specific amino acids of specific region of the channel
4672240	4679600	with a genesis, the regulation by signaling protein or molecules that you can add in your system,
4680480	4684800	and this is the kind of recording you do, this is the current,
4684880	4691920	and this is closed, and suddenly you see a small discreet change in the level,
4692480	4698240	and this is open, so this is a single channel recording, the holding potential is minus 60,
4698240	4702880	and you can see it's open, then closed, then open again, close again, open again,
4702880	4708880	and change and it fluctuates over time, okay, so as I said, we can calculate the intensity of the
4708880	4715600	current, the time it's open, the time it's closed, you can calculate the probability it's open and
4715600	4724000	closed, you can count the channel in this membrane patch, you can see one channel, two channel, three
4724000	4731600	channel, okay, you can calculate the intensity of the current, the channel is open, the channel is
4731600	4739760	closed, you measure the current, so you can calculate the number of ions passing over time
4740880	4748080	in this particular confirmation, okay, this is a recording, this is just a paper,
4750560	4756640	a paper for this, so you can see the potential is changed, the current changed a little bit,
4757600	4766240	and the intensity of the current is smaller at minus 20, that's minus 40, so you can put dots
4766880	4776000	and make what is called the ID curve, so the voltage dependence of the current, okay, you can see
4776000	4784400	that when you reach zero, the current change direction and increase, okay, so if you measure the slope,
4787360	4796880	of this, you measure the conductance, the reverse of the resistance, and here it changes zero,
4796880	4803440	but it could be here or here, and according to your ionic composition, you can say ah maybe
4803440	4808880	this is because I have as much potassium inside and outside, so the reverse of potential inside,
4809600	4818480	okay, and just to finish, sorry, you can measure the total time recorded,
4819280	4829680	tell me the open state, and calculate the open parameter, and calculate the time,
4829680	4836480	the channels are open, then you make a statistical graph, we'll fit an exponential decay, and you
4836480	4842240	measure the tau, which is called the open dwell time, the average time the channel is open,
4842240	4848400	or the channel is closed, okay, these are also important characteristics, okay, so I'll continue
4848400	4862640	next week to explain, but for next week, I will upload this paper for next week, so try to read
4862640	4870320	the paper, I guess not understand everything, you can use AI, ah I can't understand what means
4870320	4878080	an electro sensory organ, okay, and you can help you to understand the paper, but try to read, try
4878080	4887360	to understand, it's it's a not so recent paper, maybe five or six years or maybe a little bit more
4887920	4897200	old, but it's very nice because it shows you the foundation of ion channels
4897920	4902240	characteristics, so they use a lot of watch crown, and in a whole cell configuration,
4902240	4907360	and the single channel configuration, but it's also showing you how evolution
4908800	4916960	can adapt the same gene that we have to a specific function, it's called electro reception,
4918080	4925280	ah by a few, a few change in the structure of the channel, so let's read this paper and try to
4926320	4934320	understand a little bit more about ion channel, okay, questions, yes, is this slide going to be
4934320	4943120	uploaded to TACD, I don't know, I mean the entire presentation, ah no, no, I said in the beginning
4943120	4951600	of the lecture, I don't use the slides, so take notes please, but if you need, I put some paper
4951600	4958480	and that explains exactly what I'm talking about, okay, so you can revise, okay, so of course the
4959760	4965760	yeah, I know some professors give the slides, but I'm all fashion, so I like the students take notes,
4965760	4976400	sorry, okay, but you should have a question, you always ask a question, okay, so we can have lunch
